ISO3 Code,Area,Area Code,Year,Production,Domestic supply quantity,Import Quantity,Export Quantity,Stock Variation,Source
CRI,Costa Rica,48,2006,0.0,159.0,245.0,86.0,0.0,FBS
CRI,Costa Rica,48,2007,0.0,174.0,252.0,77.0,0.0,FBS
CRI,Costa Rica,48,2008,0.0,184.0,272.0,87.0,0.0,FBS
CRI,Costa Rica,48,2009,0.0,192.0,300.0,78.0,30.0,FBS
CRI,Costa Rica,48,2010,0.0,193.0,297.0,81.0,23.0,FBS
CRI,Costa Rica,48,2011,0.0,198.0,285.0,80.0,7.0,FBS
CUB,Cuba,49,2006,0.0,832.0,835.0,0.0,3.0,FBS
CUB,Cuba,49,2007,0.0,820.0,818.0,0.0,-3.0,FBS
CUB,Cuba,49,2008,0.0,870.0,870.0,0.0,0.0,FBS
CUB,Cuba,49,2009,0.0,793.0,793.0,0.0,0.0,FBS
CUB,Cuba,49,2010,0.0,863.0,864.0,1.0,0.0,FBS
CUB,Cuba,49,2011,0.0,827.0,828.0,1.0,0.0,FBS
CYP,Cyprus,50,2006,8.0,74.0,164.0,11.0,87.0,FBS
CYP,Cyprus,50,2007,11.0,88.0,114.0,10.0,27.0,FBS
CYP,Cyprus,50,2008,2.0,91.0,133.0,11.0,33.0,FBS
CYP,Cyprus,50,2009,15.0,99.0,142.0,8.0,50.0,FBS
CYP,Cyprus,50,2010,19.0,110.0,139.0,10.0,38.0,FBS
CYP,Cyprus,50,2011,25.0,113.0,142.0,10.0,45.0,FBS
CZE,Czechia,167,2006,3506.0,2636.0,250.0,1121.0,0.0,FBS
CZE,Czechia,167,2007,3939.0,2961.0,287.0,965.0,300.0,FBS
CZE,Czechia,167,2008,4632.0,3849.0,312.0,1094.0,0.0,FBS
CZE,Czechia,167,2009,4358.0,2728.0,318.0,1948.0,0.0,FBS
CZE,Czechia,167,2010,4162.0,2970.0,317.0,1509.0,0.0,FBS
CZE,Czechia,167,2011,4913.0,2926.0,364.0,1650.0,700.0,FBS
DEU,Germany,79,2006,22428.0,19714.0,3070.0,8118.0,-2335.0,FBS
DEU,Germany,79,2007,20828.0,17748.0,3348.0,6565.0,-138.0,FBS
DEU,Germany,79,2008,25989.0,19370.0,3887.0,9053.0,1452.0,FBS
DEU,Germany,79,2009,25192.0,19718.0,5419.0,11809.0,-916.0,FBS
DEU,Germany,79,2010,24107.0,17332.0,5432.0,11347.0,861.0,FBS
DEU,Germany,79,2011,22783.0,18385.0,5983.0,8642.0,1739.0,FBS
DJI,Djibouti,72,2006,0.0,94.0,124.0,0.0,31.0,FBS
DJI,Djibouti,72,2007,0.0,89.0,58.0,0.0,-31.0,FBS
DJI,Djibouti,72,2008,0.0,116.0,352.0,0.0,236.0,FBS
DJI,Djibouti,72,2009,0.0,138.0,553.0,0.0,414.0,FBS
DJI,Djibouti,72,2010,0.0,103.0,165.0,0.0,62.0,FBS
DJI,Djibouti,72,2011,0.0,106.0,605.0,0.0,499.0,FBS
DMA,Dominica,55,2006,0.0,6.0,7.0,0.0,1.0,FBS
DMA,Dominica,55,2007,0.0,6.0,8.0,0.0,1.0,FBS
DMA,Dominica,55,2008,0.0,6.0,7.0,0.0,1.0,FBS
DMA,Dominica,55,2009,0.0,6.0,7.0,0.0,1.0,FBS
DMA,Dominica,55,2010,0.0,6.0,4.0,0.0,-2.0,FBS
DMA,Dominica,55,2011,0.0,6.0,5.0,0.0,-1.0,FBS
DNK,Denmark,54,2006,4802.0,4842.0,671.0,942.0,-312.0,FBS
DNK,Denmark,54,2007,4519.0,4620.0,564.0,1004.0,-541.0,FBS
DNK,Denmark,54,2008,5019.0,4272.0,774.0,599.0,922.0,FBS
DNK,Denmark,54,2009,5940.0,4415.0,845.0,1743.0,628.0,FBS
DNK,Denmark,54,2010,5060.0,4833.0,836.0,1752.0,-688.0,FBS
DNK,Denmark,54,2011,4831.0,4779.0,787.0,1058.0,-220.0,FBS
DOM,Dominican Republic,56,2006,0.0,401.0,438.0,6.0,30.0,FBS
DOM,Dominican Republic,56,2007,0.0,425.0,442.0,7.0,10.0,FBS
DOM,Dominican Republic,56,2008,0.0,425.0,428.0,4.0,0.0,FBS
DOM,Dominican Republic,56,2009,0.0,427.0,434.0,7.0,0.0,FBS
DOM,Dominican Republic,56,2010,0.0,625.0,631.0,7.0,0.0,FBS
DOM,Dominican Republic,56,2011,0.0,568.0,632.0,8.0,56.0,FBS
DZA,Algeria,4,2006,2688.0,7209.0,4987.0,7.0,459.0,FBS
DZA,Algeria,4,2007,2319.0,7189.0,4885.0,14.0,1.0,FBS
DZA,Algeria,4,2008,1111.0,7751.0,6508.0,24.0,-156.0,FBS
DZA,Algeria,4,2009,2953.0,8190.0,5757.0,37.0,484.0,FBS
DZA,Algeria,4,2010,2605.0,8190.0,5109.0,39.0,-515.0,FBS
DZA,Algeria,4,2011,2555.0,8987.0,7487.0,5.0,1050.0,FBS
ECU,Ecuador,58,2006,8.0,587.0,583.0,4.0,0.0,FBS
ECU,Ecuador,58,2007,9.0,510.0,505.0,4.0,0.0,FBS
ECU,Ecuador,58,2008,8.0,536.0,531.0,3.0,0.0,FBS
ECU,Ecuador,58,2009,11.0,549.0,541.0,3.0,0.0,FBS
ECU,Ecuador,58,2010,8.0,591.0,667.0,3.0,80.0,FBS
ECU,Ecuador,58,2011,6.0,606.0,623.0,3.0,20.0,FBS
EGY,Egypt,59,2006,8274.0,16106.0,8024.0,32.0,160.0,FBS
EGY,Egypt,59,2007,7379.0,16262.0,8251.0,25.0,-657.0,FBS
EGY,Egypt,59,2008,7977.0,16955.0,8335.0,28.0,-671.0,FBS
EGY,Egypt,59,2009,8523.0,17308.0,9130.0,111.0,234.0,FBS
EGY,Egypt,59,2010,7177.0,17646.0,10607.0,89.0,50.0,FBS
EGY,Egypt,59,2011,8407.0,18052.0,9836.0,181.0,10.0,FBS
ERI,Eritrea,178,2006,21.57,160.204,138.634,0.0,0.0,QCL+TCL
ERI,Eritrea,178,2007,27.274,169.383,142.109,0.0,0.0,QCL+TCL
ERI,Eritrea,178,2008,5.391,139.401,134.01,0.0,0.0,QCL+TCL
ERI,Eritrea,178,2009,26.142,170.334,144.192,0.0,0.0,QCL+TCL
ERI,Eritrea,178,2010,33.0,155.316,122.316,0.0,0.0,QCL+TCL
ERI,Eritrea,178,2011,29.0,231.922,202.922,0.0,0.0,QCL+TCL
ESP,Spain,203,2006,5522.0,10022.0,5833.0,1203.0,130.0,FBS
ESP,Spain,203,2007,6436.0,9735.0,4125.0,1183.0,-357.0,FBS
ESP,Spain,203,2008,6714.0,10283.0,5338.0,1125.0,644.0,FBS
