area_code,area,year,unit,domestic_supply,exports,feed,food,imports,losses,production,seed,stock_variation
136,Mauritania,2009,1000 t,379.0,0.0,,359.0,429.0,20.0,3.0,0.0,-54.0
136,Mauritania,2010,1000 t,374.0,0.0,,356.0,351.0,17.0,2.0,0.0,20.0
136,Mauritania,2011,1000 t,383.0,0.0,,365.0,325.0,18.0,3.0,0.0,55.0
137,Mauritius,2006,1000 t,129.0,23.0,,128.0,148.0,1.0,,,4.0
137,Mauritius,2007,1000 t,135.0,18.0,,133.0,167.0,1.0,,,-14.0
137,Mauritius,2008,1000 t,133.0,12.0,,132.0,132.0,1.0,,,14.0
137,Mauritius,2009,1000 t,132.0,33.0,,131.0,178.0,1.0,,,-13.0
137,Mauritius,2010,1000 t,143.0,38.0,,141.0,173.0,1.0,,,8.0
137,Mauritius,2011,1000 t,140.0,27.0,,138.0,149.0,1.0,,,18.0
138,Mexico,2006,1000 t,6100.0,926.0,76.0,3811.0,3647.0,763.0,3378.0,96.0,0.0
138,Mexico,2007,1000 t,5944.0,1041.0,75.0,3923.0,3470.0,509.0,3515.0,98.0,0.0
138,Mexico,2008,1000 t,5469.0,1970.0,80.0,3813.0,3419.0,143.0,4019.0,114.0,0.0
138,Mexico,2009,1000 t,5369.0,1702.0,80.0,3886.0,2955.0,179.0,4116.0,74.0,0.0
138,Mexico,2010,1000 t,6329.0,1058.0,83.0,4008.0,3710.0,398.0,3677.0,75.0,0.0
138,Mexico,2011,1000 t,6390.0,1535.0,89.0,4123.0,4297.0,229.0,3628.0,62.0,0.0
14,Barbados,2006,1000 t,23.0,7.0,0.0,18.0,31.0,,,,-1.0
14,Barbados,2007,1000 t,26.0,9.0,2.0,19.0,35.0,,,,0.0
14,Barbados,2008,1000 t,28.0,9.0,7.0,17.0,37.0,,,,-1.0
14,Barbados,2009,1000 t,22.0,7.0,2.0,17.0,30.0,,,,-1.0
14,Barbados,2010,1000 t,21.0,7.0,1.0,17.0,29.0,,,,-2.0
14,Barbados,2011,1000 t,21.0,7.0,0.0,18.0,32.0,,,,-4.0
141,Mongolia,2006,1000 t,380.0,0.0,10.0,324.0,255.0,3.0,128.0,26.0,-3.0
141,Mongolia,2007,1000 t,377.0,0.0,16.0,323.0,237.0,1.0,110.0,19.0,31.0
141,Mongolia,2008,1000 t,527.0,0.0,88.0,330.0,318.0,13.0,210.0,22.0,0.0
141,Mongolia,2009,1000 t,666.0,0.0,210.0,333.0,278.0,15.0,388.0,22.0,0.0
141,Mongolia,2010,1000 t,485.0,0.0,86.0,341.0,140.0,12.0,345.0,24.0,0.0
141,Mongolia,2011,1000 t,554.0,0.0,127.0,352.0,118.0,13.0,436.0,25.0,0.0
143,Morocco,2006,1000 t,6881.0,105.0,600.0,5398.0,1860.0,626.0,6327.0,257.0,-1200.0
143,Morocco,2007,1000 t,6670.0,134.0,450.0,5405.0,3721.0,529.0,1583.0,286.0,1500.0
143,Morocco,2008,1000 t,7293.0,86.0,700.0,5489.0,4109.0,606.0,3769.0,298.0,-500.0
143,Morocco,2009,1000 t,7903.0,87.0,1100.0,5548.0,2419.0,670.0,6371.0,285.0,-800.0
143,Morocco,2010,1000 t,7832.0,113.0,1000.0,5598.0,3269.0,626.0,4876.0,309.0,-200.0
143,Morocco,2011,1000 t,8584.0,17.0,1300.0,5694.0,3683.0,735.0,6018.0,314.0,-1100.0
144,Mozambique,2006,1000 t,476.0,1.0,,464.0,569.0,11.0,8.0,1.0,-100.0
144,Mozambique,2007,1000 t,447.0,1.0,,438.0,339.0,9.0,10.0,1.0,100.0
144,Mozambique,2008,1000 t,472.0,1.0,,462.0,270.0,9.0,13.0,1.0,190.0
144,Mozambique,2009,1000 t,473.0,1.0,,463.0,459.0,9.0,15.0,1.0,0.0
144,Mozambique,2010,1000 t,464.0,45.0,,452.0,580.0,11.0,18.0,1.0,-90.0
144,Mozambique,2011,1000 t,470.0,51.0,,459.0,410.0,10.0,20.0,1.0,90.0
146,Republic of Moldova,2006,1000 t,701.0,185.0,207.0,252.0,65.0,89.0,691.0,79.0,130.0
146,Republic of Moldova,2007,1000 t,643.0,47.0,116.0,294.0,144.0,56.0,406.0,103.0,140.0
146,Republic of Moldova,2008,1000 t,734.0,61.0,199.0,281.0,138.0,118.0,1286.0,88.0,-630.0
146,Republic of Moldova,2009,1000 t,587.0,345.0,146.0,248.0,116.0,80.0,737.0,81.0,80.0
146,Republic of Moldova,2010,1000 t,559.0,189.0,164.0,202.0,104.0,71.0,744.0,75.0,-100.0
146,Republic of Moldova,2011,1000 t,563.0,94.0,199.0,179.0,112.0,70.0,795.0,79.0,-250.0
147,Namibia,2006,1000 t,77.0,1.0,,74.0,50.0,3.0,13.0,0.0,16.0
147,Namibia,2007,1000 t,76.0,0.0,,73.0,58.0,3.0,12.0,0.0,6.0
147,Namibia,2008,1000 t,70.0,3.0,,66.0,58.0,3.0,15.0,0.0,0.0
147,Namibia,2009,1000 t,61.0,0.0,,59.0,37.0,2.0,12.0,0.0,12.0
147,Namibia,2010,1000 t,67.0,0.0,,65.0,55.0,2.0,13.0,0.0,0.0
147,Namibia,2011,1000 t,75.0,0.0,,71.0,59.0,3.0,16.0,0.0,0.0
149,Nepal,2006,1000 t,1417.0,2.0,61.0,1141.0,25.0,148.0,1394.0,67.0,0.0
149,Nepal,2007,1000 t,1446.0,6.0,50.0,1156.0,7.0,154.0,1515.0,86.0,-70.0
149,Nepal,2008,1000 t,1469.0,11.0,43.0,1190.0,8.0,166.0,1572.0,71.0,-100.0
149,Nepal,2009,1000 t,1468.0,54.0,47.0,1208.0,8.0,143.0,1344.0,70.0,170.0
149,Nepal,2010,1000 t,1560.0,9.0,49.0,1274.0,13.0,165.0,1557.0,73.0,0.0
149,Nepal,2011,1000 t,1762.0,12.0,165.0,1337.0,29.0,184.0,1746.0,77.0,0.0
150,Netherlands (Kingdom of the),2006,1000 t,5356.0,1181.0,3479.0,1118.0,4732.0,27.0,1184.0,78.0,620.0
