year,month,grain,model_price,subst_scale,leg,obs_price
2006,8,maize,187.96517940294285,0.0,subst_off,129.6086956521739
2006,9,maize,180.747922318703,0.0,subst_off,135.27768662838392
2006,10,maize,163.93105170060505,0.0,subst_off,158.06480721903196
2006,11,maize,164.0856370830943,0.0,subst_off,182.85274815422477
2006,12,maize,181.9618283720407,0.0,subst_off,178.29532403609517
2007,1,maize,257.02343915967236,0.0,subst_off,172.65241295051928
2007,2,maize,330.73749947249144,0.0,subst_off,185.74801466096525
2007,3,maize,248.11176616262586,0.0,subst_off,178.6240073304826
2007,4,maize,202.0877325419862,0.0,subst_off,159.9758704948076
2007,5,maize,176.3478430875667,0.0,subst_off,167.8332315210751
2007,6,maize,161.8969618433374,0.0,subst_off,173.0714722052535
2007,7,maize,154.46426594453652,0.0,subst_off,153.7947464874771
2007,8,maize,151.23616940373682,0.0,subst_off,158.40439828955408
2007,9,maize,148.64309023532286,0.0,subst_off,166.99511301160663
2007,10,maize,145.88762823699705,0.0,subst_off,172.02382406841784
2007,11,maize,145.22732721226248,0.0,subst_off,179.46212583995117
2007,12,maize,148.76553811508805,0.0,subst_off,188.89095907147225
2008,1,maize,150.82532369615188,0.0,subst_off,201.04840878529808
2008,2,maize,151.31973633470534,0.0,subst_off,214.08202599731064
2008,3,maize,150.98657761943372,0.0,subst_off,227.99103541013
2008,4,maize,150.52918626148536,0.0,subst_off,239.6629314208875
2008,5,maize,150.42570595755478,0.0,subst_off,236.84222321828776
2008,6,maize,150.5652013071445,0.0,subst_off,279.2501120573734
2008,7,maize,150.8537485703804,0.0,subst_off,258.0461676378306
2008,8,maize,151.6939909665196,0.0,subst_off,228.57463021066783
2008,9,maize,149.31941775376566,0.0,subst_off,227.40744060959213
2008,10,maize,145.2366101576385,0.0,subst_off,178.09367996414164
2008,11,maize,143.2455967550724,0.0,subst_off,159.32138054684
2008,12,maize,144.6352530158344,0.0,subst_off,153.97176154190947
2009,1,maize,145.5131346655474,0.0,subst_off,179.16906344410876
2009,2,maize,145.60072866911815,0.0,subst_off,169.4225981873112
2009,3,maize,145.0363049392758,0.0,subst_off,170.66682779456193
2009,4,maize,144.09686996143543,0.0,subst_off,174.7105740181269
2009,5,maize,143.09928448148634,0.0,subst_off,186.53075528700907
2009,6,maize,142.5352220366321,0.0,subst_off,186.11601208459217
2009,7,maize,142.52429707057348,0.0,subst_off,157.18767371601209
2009,8,maize,143.14934489578442,0.0,subst_off,157.602416918429
2009,9,maize,141.87824439553395,0.0,subst_off,155.94344410876133
2009,10,maize,139.38229378809484,0.0,subst_off,173.46634441087613
2009,11,maize,137.36169940255562,0.0,subst_off,177.924833836858
