year,month,model_price,world_stock,obs_price,grain,subst_scale,leg
2022,5,542.3490915107618,20.76067160502852,395.05860805860806,rice,0.6,tau
2022,6,549.4466905856433,22.802289645086955,378.0302197802198,rice,0.6,tau
2022,7,564.0611581962905,38.11737796998769,355.893315018315,rice,0.6,tau
2022,8,547.1461841483695,73.11254114615329,366.9617673992674,rice,0.6,tau
2022,9,648.3375412366736,124.82308857373478,373.7731227106227,rice,0.6,tau
2022,10,682.0034984290155,170.15764534301866,366.9617673992674,rice,0.6,tau
2022,11,893.2419475848394,179.07620585830716,374.6245421245422,rice,0.6,tau
2022,12,1048.106466687821,162.85107322334932,397.6128663003663,rice,0.6,tau
2023,1,940.3095101144386,127.83081138865987,453.0402745168864,rice,0.6,tau
2023,2,814.8960071553444,90.36382305421401,431.1331045692613,rice,0.6,tau
2023,3,821.6928387283308,57.91739124483275,417.1125158027813,rice,0.6,tau
2023,4,871.5004265038361,38.36005315555029,439.0196857504063,rice,0.6,tau
2023,5,925.3524833091215,31.407372885656333,446.9062669315514,rice,0.6,tau
2023,6,898.9539581228355,36.168092327996916,450.41141412317137,rice,0.6,tau
2023,7,980.5002772071374,55.003799128698304,479.3288784540365,rice,0.6,tau
2023,8,1017.5953109574305,93.92845937026023,556.4421166696767,rice,0.6,tau
2023,9,1026.9964630163563,148.15328316475194,543.2978147011016,rice,0.6,tau
2023,10,952.2696929833708,193.90051817741113,517.0092107639515,rice,0.6,tau
2023,11,886.7983012873276,201.54027174457318,524.0195051471916,rice,0.6,tau
2023,12,840.0441706112617,180.9136955031708,564.3286978508216,rice,0.6,tau
2021,1,300.53483789799793,653.7478243852399,214.3483622350674,maize,0.0,full
2021,2,366.04789862025285,574.2020611048329,224.12886319845856,maize,0.0,full
2021,3,440.52872638871884,529.6023318805403,224.12886319845856,maize,0.0,full
2021,4,505.80981018260707,493.1044189534083,245.15236994219651,maize,0.0,full
2021,5,568.8140580910879,444.63193584481854,279.06420038535646,maize,0.0,full
2021,6,608.8041795470812,383.1698510505178,267.45556840077074,maize,0.0,full
2021,7,609.5167828460617,302.4767578102123,254.47583815028895,maize,0.0,full
2021,8,594.0950550656846,219.9794887376363,234.54921001926783,maize,0.0,full
2021,9,583.3820173405848,441.38348170927463,215.35383429672444,maize,0.0,full
2021,10,599.3365563681276,776.7918332960874,219.0100963391137,maize,0.0,full
2021,11,620.1298928475824,946.9191775014118,227.32809248554912,maize,0.0,full
2021,12,618.4166167764821,896.0028649708311,241.7703275529865,maize,0.0,full
2022,1,613.400862831949,795.5305283873897,235.47440401505648,maize,0.0,full
2022,2,607.2505293193979,727.6834676575718,249.09548306148056,maize,0.0,full
2022,3,604.643734285896,688.9899924751078,285.61700125470514,maize,0.0,full
2022,4,601.4643286996645,650.8325438585654,296.42873274780425,maize,0.0,full
2022,5,599.6637379377054,597.2697045585633,293.5342534504391,maize,0.0,full
2022,6,598.2246438121625,530.0313420464954,285.7872647427854,maize,0.0,full
2022,7,595.7412072888487,443.9349878635529,274.9755332496863,maize,0.0,full
2022,8,589.9507317755863,356.60549252929343,246.71179422835633,maize,0.0,full
2022,9,576.0319174597482,557.3749150769884,266.2069636135508,maize,0.0,full
2022,10,586.5761836326337,857.6943736275373,292.5126725219573,maize,0.0,full
2022,11,600.1816749324366,995.5234457120432,273.1877666248431,maize,0.0,full
2022,12,610.1861273530208,935.4721784224942,257.26813048933496,maize,0.0,full
2023,1,611.2696507751077,832.7239725334016,265.2944994064108,maize,0.0,full
2023,2,606.3145186356105,760.5602440408749,261.2642659279779,maize,0.0,full
2023,3,598.9166093178007,717.2215234668181,247.50890383854377,maize,0.0,full
2023,4,596.0759830532605,676.8726902036974,255.04368816778793,maize,0.0,full
2023,5,595.2070413229314,621.6037601068912,234.8925207756233,maize,0.0,full
2023,6,594.3515467931715,553.0459679994322,233.84115552037989,maize,0.0,full
2023,7,591.1131243591171,466.1007731019929,212.37578155916108,maize,0.0,full
2023,8,586.826799059382,377.8479843513399,181.8861891571033,maize,0.0,full
2023,9,575.0862117639862,592.1941074796506,196.0796201028888,maize,0.0,full
2023,10,584.921237956815,910.8763679757792,202.12497032053815,maize,0.0,full
2023,11,597.5317149626803,1056.4590053762995,185.1278986941037,maize,0.0,full
2023,12,631.4886292329445,989.6129015429137,180.92243767313025,maize,0.0,full
2021,1,231.3696393764321,652.8083520255241,214.3483622350674,maize,0.0,shocks
2021,2,222.9535979407698,566.5549316987269,224.12886319845856,maize,0.0,shocks
2021,3,222.15354042349193,510.8296063267426,224.12886319845856,maize,0.0,shocks
2021,4,215.43643067287547,459.34716318697576,245.15236994219651,maize,0.0,shocks
2021,5,206.66271646890533,393.43927136298566,279.06420038535646,maize,0.0,shocks
2021,6,197.9434518093002,312.1432594128578,267.45556840077074,maize,0.0,shocks
2021,7,192.36161271478073,210.60517118650935,254.47583815028895,maize,0.0,shocks
2021,8,211.2638718379062,119.57681626752726,234.54921001926783,maize,0.0,shocks
2021,9,204.7154753267683,329.1204197952202,215.35383429672444,maize,0.0,shocks
